yyyy	mm	dd	sf(m3/s)	sed(t/ha)	orgn(kg/ha)	orgp(kg/ha)	no3n(kg/ha)	nh4n(kg/ha)	no2n(kg/ha)	minp(kg/ha)	solpst(mg/ha)	sorpst(mg/ha)	tp(kg/ha)	tn(kg/ha)	tpst(ppb)
2007	1	1	376	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	2	1	386	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	3	1	424	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	4	1	739	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	5	1	721	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	6	1	1010	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	7	1	605	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	8	1	593	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	9	1	453	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	10	1	367	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	11	1	327	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	12	1	288	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	1	1	361	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	2	1	352	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	3	1	268	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	4	1	369	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	5	1	358	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	6	1	743	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	7	1	892	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	8	1	805	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	9	1	493	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	10	1	388	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	11	1	293	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	12	1	309	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	1	1	319	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	2	1	322	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	3	1	352	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	4	1	376	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	5	1	330	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	6	1	441	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	7	1	355	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	8	1	195	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	9	1	170	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	10	1	195	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	11	1	214	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	12	1	253	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	1	1	299	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	2	1	332	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	3	1	288	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	4	1	425	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	5	1	708	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	6	1	1150	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	7	1	646	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	8	1	341	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	9	1	506	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	10	1	348	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	11	1	304	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	12	1	310	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	1	296	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	1	259	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	1	251	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	4	1	239	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	5	1	516	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	6	1	389	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	7	1	375	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	8	1	296	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	9	1	260	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	10	1	302	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	11	1	294	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	12	1	281	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	1	1	287	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	2	1	281	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	3	1	438	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	4	1	594	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	5	1	762	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	6	1	584	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	7	1	425	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	8	1	370	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	9	1	248	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	10	1	245	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	11	1	309	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	12	1	348	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	1	1	312	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	2	1	300	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	3	1	328	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	4	1	364	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	5	1	959	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	6	1	1090	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	7	1	464	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	8	1	724	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	9	1	584	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	10	1	317	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	11	1	293	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	12	1	355	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	1	1	446	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	2	1	405	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	3	1	470	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	4	1	354	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	5	1	668	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	6	1	826	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
