yyyy	mm	dd	sf(m3/s)	sed(t/ha)	orgn(kg/ha)	orgp(kg/ha)	no3n(kg/ha)	nh4n(kg/ha)	no2n(kg/ha)	minp(kg/ha)	solpst(mg/ha)	sorpst(mg/ha)	tp(kg/ha)	tn(kg/ha)	tpst(ppb)
2007	1	1	2410	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	2	1	2120	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	3	1	2640	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	4	1	2830	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	5	1	10329	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	6	1	15774	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	7	1	12393	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	8	1	9159	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	9	1	6438	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	10	1	4869	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	11	1	1908	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	12	1	1724	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	1	1	1858	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	2	1	2517	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	3	1	2712	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	4	1	4104	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	5	1	8005	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	6	1	32002	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	7	1	14685	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	8	1	11401	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	9	1	8381	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	10	1	7402	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	11	1	14103	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	12	1	3419	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	1	1	2712	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	2	1	2470	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	3	1	3171	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	4	1	4918	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	5	1	12347	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	6	1	11576	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	7	1	18793	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	8	1	8483	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	9	1	3009	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	10	1	1603	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	11	1	1277	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2009	12	1	3127	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	1	1	3092	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	2	1	2606	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	3	1	3227	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	4	1	5087	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	5	1	10329	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	6	1	15774	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	7	1	12393	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	8	1	9159	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	9	1	6438	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	10	1	4869	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	11	1	4950	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2010	12	1	3127	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	1	3092	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	1	2606	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	1	3150	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	4	1	3090	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	5	1	8050	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	6	1	7340	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	7	1	7080	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	8	1	2660	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	9	1	1830	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	10	1	5120	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	11	1	1940	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	12	1	1390	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	1	1	1650	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
