yyyy	mm	dd	sf(m3/s)	sed(t/ha)	orgn(kg/ha)	orgp(kg/ha)	no3n(kg/ha)	nh4n(kg/ha)	no2n(kg/ha)	minp(kg/ha)	solpst(mg/ha)	sorpst(mg/ha)	tp(kg/ha)	tn(kg/ha)	tpst(ppb)
2011	11	1	20	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	12	1	108	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	1	1	136	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	2	1	181	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	3	1	250	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	4	1	187	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	5	1	309	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	6	1	481	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	7	1	764	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	8	1	777	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	9	1	662	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	10	1	488	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	11	1	419	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2012	12	1	324	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	1	1	335	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	2	1	240	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	3	1	345	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	4	1	242	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	5	1	265	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	6	1	317	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	7	1	294	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	8	1	337	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	9	1	344	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	10	1	480	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	11	1	490	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2013	12	1	371	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	1	1	242	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	2	1	224	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	3	1	288	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	4	1	245	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	5	1	399	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	6	1	530	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	7	1	630	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	8	1	886	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	9	1	1230	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	10	1	832	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	11	1	541	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2014	12	1	386	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2015	1	1	331	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2015	2	1	257	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2015	3	1	440	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2015	4	1	448	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2015	5	1	638	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2015	6	1	780	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2015	7	1	702	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2015	8	1	788	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
