yyyy	mm	dd	sf(m3/s)	sed(t/ha)	orgn(kg/ha)	orgp(kg/ha)	no3n(kg/ha)	nh4n(kg/ha)	no2n(kg/ha)	minp(kg/ha)	solpst(mg/ha)	sorpst(mg/ha)	tp(kg/ha)	tn(kg/ha)	tpst(ppb)
2011	1	1	0.4814	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	2	1.6990	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	3	0.6173	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	4	0.2404	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	5	0.1608	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	6	0.1161	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	7	0.0866	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	8	0.0697	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	9	0.0580	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	10	0.0484	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	11	0.0428	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	12	0.0379	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	13	0.0303	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	14	0.0252	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	15	0.0249	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	16	0.0249	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	17	0.0178	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	18	0.0167	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	19	0.0207	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	20	0.0195	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	21	0.0204	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	22	0.0181	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	23	0.0127	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	24	0.0082	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	25	0.0085	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	26	0.0116	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	27	0.0130	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	28	0.0130	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	29	0.0136	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	30	0.0116	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	31	0.0102	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	1	0.0088	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	2	0.0079	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	3	0.0074	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	4	0.0074	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	5	0.0074	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	6	0.0079	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	7	0.0088	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	8	0.0088	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	9	0.0082	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	10	0.0082	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	11	0.0085	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	12	0.0093	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	13	0.0091	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	14	0.0099	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	15	0.0102	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	16	0.0110	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	17	0.0127	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	18	0.0255	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	19	0.1133	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	20	0.2254	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	21	0.1982	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	22	0.1532	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	23	0.1192	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	24	0.0932	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	25	0.0714	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	26	0.0549	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	27	0.0467	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	2	28	0.0442	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	1	0.0496	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	2	0.0481	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	3	0.0413	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	4	0.0442	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	5	0.0903	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	6	0.7079	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	7	0.3964	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	8	0.3681	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	9	0.3681	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	10	0.3681	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	11	0.6966	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	12	1.2261	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	13	1.4300	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	14	1.4696	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	15	1.3281	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	16	1.2120	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	17	2.2455	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	18	3.1148	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	19	1.9822	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	20	0.7334	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	21	0.5493	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	22	0.8807	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	23	0.4899	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	24	0.2832	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	25	0.2090	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	26	0.1713	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	27	0.1192	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	28	0.0895	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	29	0.0850	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	30	0.1396	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	3	31	0.2047	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	4	1	0.2466	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
